Eastern Kentucky,Colonels,Humans,#5E213B,ASun,Kentucky
Eastern Illinois,Panthers,Land Animals,#0084be,OVC,Illinois
East Tennessee State,Buccaneers,Humans,#041E42,SC,Tennessee
East Carolina,Pirates,Humans,#6944a0,Amer,North Carolina
Duquesne,Dukes,Humans,#000144,A10,Pennsylvania
Duke,Blue Devils,Mythical Creatures,#00529b,ACC,North Carolina
Drexel,Dragons,Mythical Creatures,#ecc217,CAA,Pennsylvania
Drake,Bulldogs,Land Animals,#002181,MVC,Iowa
Detroit Mercy,Titans,Humans,#003a8a,Horz,Michigan
Denver,Pioneers,Humans,#b6a880,Sum,Colorado
Delaware State,Hornets,Insects,#279fcc,MEAC,Delaware
Delaware,Fightin Blue Hens,Land Animals,#00539f,CAA,Delaware
DePaul,Blue Demons,Mythical Creatures,#0059a9,BE,Illinois
Dayton,Flyers,Humans,#002453,A10,Ohio
Davidson,Wildcats,Land Animals,#e51937,A10,North Carolina
Dartmouth,Big Green,Plants,#00723c,Ivy,New Hampshire
Creighton,Bluejays,Birds,#005CA9,BE,Nebraska
Cornell,Big Red,Colors/Elements,#CC3333,Ivy,New York
Coppin State,Eagles,Birds,#dfb100,MEAC,Maryland
Connecticut,Huskies,Land Animals,#002a5c,BE,Connecticut
Columbia,Lions,Land Animals,#015289,Ivy,New York
Colorado State,Rams,Land Animals,#00674e,MWC,Colorado
Colorado,Buffaloes,Land Animals,#000000,P12,Colorado
Colgate,Raiders,Humans,#a50334,Pat,New York
Coastal Carolina,Chanticleers,Birds,#007079,SB,South Carolina
Cleveland State,Vikings,Humans,#004f36,Horz,Ohio
Clemson,Tigers,Land Animals,#F66733,ACC,South Carolina
Citadel,Bulldogs,Land Animals,#132e5e,SC,South Carolina
Cincinnati,Bearcats,Land Animals,#141414,B12,Ohio
Chicago State,Cougars,Land Animals,#004423,Ind,Illinois
Chattanooga,Mocs,Land Animals,#00386b,SC,Tennessee
Charlotte,49ers,Humans,#00693e,Amer,North Carolina
